date;time;sale_point_number;operation_number;sum_operation
09.10.2018;19:00;office15;1;10063.13
31.10.2018;00:00;office6;2;29474.21
08.02.2018;13:00;office16;3;47442.43
29.11.2018;17:00;office3;4;63002.26
12.08.2018;12:00;office13;5;43330.46
12.12.2018;22:00;office1;6;93103.24
30.04.2018;18:00;office5;7;83619.22
10.01.2018;23:00;office9;8;63081.46
18.10.2018;13:00;office6;9;59186.47
14.11.2018;15:00;office9;10;59406.41
23.10.2018;08:00;office9;11;71368.24
12.05.2018;20:00;office6;12;60810.39
02.05.2018;09:00;office4;13;47853.27
18.09.2018;15:00;office9;14;44421.27
28.03.2018;23:00;office12;15;30553.33
08.01.2018;18:00;office8;16;39431.5
26.11.2018;10:00;office8;17;44427.26
16.05.2018;20:00;office16;18;95857.27
02.08.2018;07:00;office13;19;46748.3
15.01.2018;13:00;office8;20;35094.47
04.01.2018;18:00;office3;21;55761.35
03.09.2018;10:00;office4;22;38001.45
10.11.2018;18:00;office2;23;93839.35
11.09.2018;00:00;office1;24;17608.23
11.04.2018;02:00;office8;25;14440.19
05.12.2018;00:00;office14;26;97813.35
23.01.2018;05:00;office16;27;65644.38
19.09.2018;06:00;office7;28;97993.4
02.01.2018;14:00;office9;29;87363.44
15.06.2018;17:00;office6;30;61105.43
05.10.2018;02:00;office8;31;18608.13
13.08.2018;10:00;office4;32;81621.48
11.08.2018;23:00;office9;33;93497.48
16.07.2018;12:00;office9;34;32744.34
13.07.2018;17:00;office2;35;64486.13
16.06.2018;15:00;office2;36;18779.25
26.02.2018;00:00;office5;37;12733.31
26.02.2018;05:00;office16;38;31052.17
26.02.2018;18:00;office13;39;26197.37
27.03.2018;08:00;office13;40;99477.21
19.01.2018;17:00;office6;41;40702.14
20.03.2018;02:00;office15;42;63122.4
16.06.2018;21:00;office2;43;88123.24
04.08.2018;10:00;office2;44;33903.38
15.06.2018;23:00;office11;45;23632.17
24.03.2018;06:00;office16;46;36191.21
25.11.2018;19:00;office4;47;29693.5
04.08.2018;13:00;office10;48;69881.37
24.02.2018;18:00;office7;49;45937.18
02.04.2018;10:00;office9;50;36591.28
16.12.2018;02:00;office8;51;44249.42
22.04.2018;23:00;office4;52;63882.14
12.10.2018;06:00;office15;53;64707.29
23.10.2018;07:00;office16;54;60709.41
22.09.2018;04:00;office8;55;78654.21
22.12.2018;09:00;office8;56;82183.5
16.12.2018;03:00;office10;57;28511.12
09.03.2018;20:00;office6;58;32642.3
30.01.2018;16:00;office5;59;37275.46
23.07.2018;08:00;office2;60;89956.35
16.06.2018;21:00;office12;61;20190.32
27.12.2018;14:00;office16;62;39812.2
20.06.2018;08:00;office4;63;84630.5
07.08.2018;05:00;office3;64;55043.38
15.12.2018;12:00;office9;65;58376.36
25.11.2018;11:00;office15;66;72556.21
22.11.2018;10:00;office9;67;12899.35
27.05.2018;05:00;office5;68;78530.35
05.05.2018;12:00;office16;69;88758.23
24.01.2018;07:00;office6;70;51820.34
15.12.2018;07:00;office12;71;13886.37
14.10.2018;01:00;office11;72;32078.15
14.02.2018;07:00;office10;73;75767.2
05.06.2018;08:00;office2;74;52175.31
24.02.2018;15:00;office10;75;20009.13
23.09.2018;15:00;office10;76;45968.19
29.06.2018;14:00;office3;77;49010.17
28.09.2018;01:00;office10;78;52109.15
20.09.2018;19:00;office12;79;99720.13
20.04.2018;08:00;office5;80;32201.43
21.02.2018;04:00;office9;81;23917.21
15.03.2018;02:00;office8;82;77134.35
06.04.2018;09:00;office7;83;57422.47
02.03.2018;08:00;office5;84;31678.25
05.09.2018;11:00;office13;85;90488.35
07.04.2018;22:00;office14;86;98112.4
16.10.2018;03:00;office10;87;12980.32
26.06.2018;09:00;office8;88;83458.5
10.07.2018;04:00;office6;89;40608.19
14.08.2018;20:00;office2;90;99157.24
24.05.2018;08:00;office12;91;57759.26
27.05.2018;08:00;office12;92;90874.39
15.09.2018;04:00;office8;93;82150.29
31.01.2018;14:00;office14;94;79131.43
02.05.2018;10:00;office12;95;20130.43
28.11.2018;14:00;office16;96;96037.23
26.10.2018;10:00;office4;97;27975.42
29.11.2018;05:00;office4;98;20179.47
23.03.2018;15:00;office15;99;36271.43
19.10.2018;01:00;office11;100;17400.32
15.12.2018;02:00;office9;101;42908.16
20.07.2018;19:00;office2;102;49663.42
19.02.2018;17:00;office10;103;68807.33
20.02.2018;01:00;office11;104;53796.24
07.04.2018;20:00;office4;105;39007.45
09.12.2018;16:00;office5;106;39389.48
24.06.2018;21:00;office2;107;48279.47
05.06.2018;19:00;office13;108;47484.43
31.03.2018;06:00;office6;109;95620.18
15.10.2018;06:00;office5;110;30487.17
13.03.2018;07:00;office13;111;70352.17
29.07.2018;01:00;office12;112;61363.18
05.12.2018;06:00;office12;113;25790.47
18.03.2018;21:00;office14;114;63241.23
14.10.2018;12:00;office8;115;73396.28
14.09.2018;15:00;office8;116;91268.28
30.10.2018;01:00;office12;117;31768.34
06.02.2018;08:00;office12;118;76990.5
19.03.2018;23:00;office5;119;19587.41
19.04.2018;00:00;office12;120;95835.19
27.11.2018;07:00;office5;121;56544.31
13.08.2018;05:00;office6;122;86838.46
21.08.2018;21:00;office11;123;17508.12
31.07.2018;23:00;office4;124;97797.39
04.03.2018;04:00;office8;125;33693.22
22.01.2018;09:00;office6;126;46951.5
24.06.2018;01:00;office6;127;99267.31
31.01.2018;15:00;office6;128;47686.34
28.04.2018;00:00;office9;129;25136.44
10.08.2018;18:00;office12;130;67487.41
06.04.2018;09:00;office11;131;62289.12
27.03.2018;04:00;office10;132;88072.23
06.08.2018;00:00;office16;133;16577.25
16.04.2018;03:00;office3;134;19907.2
12.03.2018;15:00;office1;135;42366.34
04.07.2018;07:00;office1;136;82788.45
24.07.2018;03:00;office3;137;22128.41
17.06.2018;11:00;office1;138;56154.45
23.02.2018;17:00;office1;139;57583.24
16.06.2018;21:00;office10;140;91939.31
09.03.2018;14:00;office7;141;93967.42
29.05.2018;22:00;office8;142;18325.33
04.09.2018;17:00;office4;143;88896.3
09.02.2018;01:00;office2;144;19182.13
27.12.2018;01:00;office11;145;89870.41
09.03.2018;03:00;office14;146;69644.34
27.04.2018;05:00;office11;147;45902.16
17.01.2018;14:00;office4;148;52487.38
09.11.2018;07:00;office7;149;48508.37
14.02.2018;05:00;office1;150;42776.21
27.12.2018;08:00;office11;151;47101.27
19.12.2018;21:00;office6;152;30407.48
02.11.2018;02:00;office9;153;79105.36
17.09.2018;18:00;office12;154;18915.25
09.07.2018;15:00;office4;155;12996.26
16.10.2018;13:00;office7;156;56162.47
18.06.2018;20:00;office8;157;14978.39
18.02.2018;06:00;office4;158;62961.49
03.12.2018;13:00;office10;159;90731.43
18.04.2018;06:00;office12;160;78497.16
11.06.2018;07:00;office16;161;73338.37
06.06.2018;01:00;office7;162;45832.45
10.09.2018;16:00;office8;163;26377.4
07.02.2018;13:00;office4;164;80873.2
13.04.2018;23:00;office8;165;73771.27
09.01.2018;05:00;office13;166;44967.49
31.01.2018;18:00;office1;167;39797.33
10.08.2018;12:00;office4;168;29398.26
10.11.2018;03:00;office9;169;85954.49
27.02.2018;01:00;office9;170;53437.34
14.04.2018;01:00;office11;171;83334.49
26.01.2018;15:00;office10;172;37878.27
26.06.2018;15:00;office12;173;94367.18
24.11.2018;01:00;office5;174;47757.12
10.09.2018;15:00;office5;175;95324.27
10.03.2018;15:00;office12;176;74036.15
10.01.2018;12:00;office5;177;37314.39
01.08.2018;12:00;office7;178;73838.21
22.11.2018;02:00;office4;179;19998.39
19.04.2018;19:00;office10;180;55357.4
26.12.2018;22:00;office16;181;74933.5
28.02.2018;20:00;office1;182;78132.22
26.07.2018;21:00;office5;183;77338.28
09.04.2018;18:00;office14;184;76819.31
03.06.2018;06:00;office15;185;34377.14
12.02.2018;09:00;office3;186;76596.22
11.11.2018;06:00;office15;187;95432.47
15.07.2018;18:00;office15;188;65281.21
08.02.2018;14:00;office13;189;99382.13
10.05.2018;07:00;office8;190;68526.4
06.06.2018;14:00;office9;191;77116.48
15.02.2018;12:00;office3;192;24058.22
22.07.2018;23:00;office9;193;73566.24
23.07.2018;11:00;office5;194;53275.39
11.02.2018;20:00;office5;195;21545.38
16.11.2018;06:00;office10;196;20139.28
17.04.2018;22:00;office12;197;67081.38
16.02.2018;18:00;office15;198;56777.4
17.07.2018;18:00;office11;199;50283.23
16.06.2018;07:00;office11;200;77411.4
28.03.2018;11:00;office3;201;28691.26
14.05.2018;10:00;office2;202;60085.46
10.06.2018;22:00;office9;203;50831.41
20.12.2018;23:00;office12;204;46978.17
29.04.2018;17:00;office11;205;26863.3
29.05.2018;23:00;office5;206;30637.13
25.07.2018;02:00;office12;207;34864.19
20.06.2018;13:00;office7;208;32347.29
27.03.2018;01:00;office5;209;91575.38
08.11.2018;15:00;office7;210;64614.33
11.08.2018;12:00;office5;211;34497.33
19.02.2018;14:00;office16;212;59225.24
02.12.2018;14:00;office9;213;40424.34
20.02.2018;22:00;office10;214;87340.49
05.09.2018;23:00;office11;215;17798.36
13.07.2018;05:00;office14;216;74969.4
14.09.2018;18:00;office1;217;40891.49
26.10.2018;11:00;office2;218;88883.12
18.06.2018;17:00;office16;219;33092.47
11.01.2018;13:00;office13;220;56859.4
17.03.2018;16:00;office11;221;16214.41
28.11.2018;18:00;office8;222;11936.46
23.10.2018;03:00;office1;223;87104.34
08.02.2018;01:00;office3;224;61529.31
29.09.2018;00:00;office15;225;85709.46
28.05.2018;08:00;office3;226;45045.32
12.09.2018;04:00;office14;227;71701.14
29.08.2018;21:00;office3;228;66149.39
15.08.2018;07:00;office8;229;90096.5
27.11.2018;10:00;office8;230;61638.24
31.01.2018;22:00;office3;231;41394.37
27.11.2018;10:00;office12;232;51309.14
13.05.2018;12:00;office4;233;38300.5
04.05.2018;22:00;office11;234;23735.27
08.03.2018;15:00;office3;235;41029.36
15.03.2018;05:00;office5;236;45988.41
15.02.2018;19:00;office4;237;43120.13
14.09.2018;23:00;office13;238;54454.3
06.02.2018;18:00;office13;239;22553.42
30.04.2018;17:00;office1;240;37554.13
02.06.2018;14:00;office16;241;12368.3
22.10.2018;05:00;office13;242;44680.41
11.03.2018;19:00;office10;243;38707.12
09.04.2018;09:00;office6;244;66216.2
05.09.2018;15:00;office12;245;12170.17
12.10.2018;03:00;office10;246;15419.17
16.03.2018;06:00;office13;247;58466.35
23.02.2018;15:00;office11;248;46552.46
15.05.2018;23:00;office11;249;95200.48
21.06.2018;16:00;office9;250;26700.37
22.08.2018;01:00;office9;251;49681.14
20.11.2018;15:00;office3;252;61861.13
22.04.2018;19:00;office14;253;24979.17
23.05.2018;07:00;office4;254;78818.13
17.02.2018;13:00;office14;255;15149.3
06.11.2018;04:00;office14;256;81185.28
15.01.2018;18:00;office13;257;84254.28
24.12.2018;15:00;office3;258;38751.41
29.09.2018;01:00;office9;259;11180.14
12.06.2018;10:00;office8;260;70082.14
06.07.2018;00:00;office16;261;44756.14
09.08.2018;20:00;office15;262;83617.35
08.10.2018;07:00;office3;263;38253.41
17.12.2018;11:00;office5;264;57849.44
12.08.2018;21:00;office9;265;69584.34
23.05.2018;12:00;office1;266;58795.43
31.07.2018;06:00;office6;267;60828.31
11.12.2018;11:00;office8;268;74054.36
04.04.2018;07:00;office16;269;96026.32
25.09.2018;10:00;office4;270;96598.4
05.07.2018;22:00;office9;271;45074.39
09.12.2018;12:00;office6;272;22762.16
20.03.2018;20:00;office7;273;14383.32
19.07.2018;22:00;office16;274;79721.31
10.11.2018;15:00;office1;275;93486.41
20.02.2018;10:00;office6;276;89634.37
30.09.2018;09:00;office12;277;86590.36
14.01.2018;03:00;office4;278;51347.17
01.08.2018;10:00;office13;279;54195.17
21.11.2018;07:00;office16;280;47936.38
06.05.2018;22:00;office6;281;71346.4
06.10.2018;00:00;office12;282;92823.3
24.12.2018;22:00;office11;283;77192.26
27.04.2018;16:00;office3;284;38501.2
14.07.2018;07:00;office9;285;96493.4
21.03.2018;16:00;office15;286;67063.32
28.08.2018;12:00;office14;287;94203.14
24.01.2018;15:00;office13;288;91228.29
25.09.2018;20:00;office12;289;59364.25
12.04.2018;18:00;office4;290;36232.31
22.12.2018;03:00;office13;291;69656.44
03.10.2018;23:00;office6;292;45857.41
09.02.2018;10:00;office7;293;61959.16
11.04.2018;09:00;office12;294;89489.41
23.05.2018;21:00;office1;295;69777.49
15.12.2018;11:00;office13;296;92782.14
05.11.2018;00:00;office6;297;17297.48
09.08.2018;21:00;office10;298;17671.18
06.08.2018;09:00;office1;299;38527.41
09.02.2018;23:00;office11;300;15625.35
11.11.2018;03:00;office2;301;71049.33
05.07.2018;08:00;office2;302;21017.23
17.08.2018;07:00;office4;303;66484.26
10.01.2018;05:00;office5;304;78973.25
03.08.2018;10:00;office8;305;50717.18
29.06.2018;10:00;office13;306;31342.25
12.04.2018;15:00;office5;307;18295.41
06.01.2018;02:00;office8;308;78153.36
25.06.2018;03:00;office16;309;21874.23
13.02.2018;22:00;office1;310;37490.22
22.09.2018;10:00;office8;311;92042.43
16.09.2018;14:00;office6;312;69467.22
01.02.2018;20:00;office6;313;66972.17
07.02.2018;02:00;office15;314;16735.44
30.01.2018;07:00;office14;315;42669.39
20.07.2018;16:00;office4;316;18577.19
02.06.2018;03:00;office11;317;39155.13
19.09.2018;11:00;office16;318;97772.44
14.10.2018;08:00;office2;319;94436.47
27.11.2018;08:00;office2;320;68596.37
15.04.2018;15:00;office1;321;14595.26
24.12.2018;07:00;office4;322;78653.36
28.11.2018;18:00;office8;323;29436.14
04.02.2018;10:00;office16;324;56481.33
13.05.2018;20:00;office11;325;40288.44
22.11.2018;01:00;office2;326;50757.15
30.08.2018;00:00;office1;327;66890.21
06.10.2018;18:00;office10;328;22535.32
09.03.2018;11:00;office7;329;53992.13
22.06.2018;09:00;office5;330;68859.27
15.09.2018;17:00;office4;331;74646.24
14.09.2018;10:00;office11;332;36819.26
01.01.2018;07:00;office5;333;26379.31
01.01.2018;01:00;office6;334;71318.41
14.12.2018;21:00;office8;335;29307.18
30.10.2018;22:00;office15;336;27626.31
02.10.2018;02:00;office13;337;42117.36
12.02.2018;00:00;office4;338;55811.45
14.01.2018;04:00;office3;339;12999.27
18.03.2018;09:00;office5;340;34327.3
12.07.2018;06:00;office1;341;88885.3
25.12.2018;19:00;office10;342;63994.26
26.11.2018;07:00;office7;343;83543.5
18.01.2018;21:00;office6;344;70577.14
23.12.2018;04:00;office11;345;41829.19
09.05.2018;07:00;office7;346;43615.48
15.10.2018;13:00;office8;347;83093.47
15.01.2018;22:00;office5;348;86841.3
30.04.2018;08:00;office2;349;28488.5
11.05.2018;01:00;office13;350;49011.45
19.11.2018;16:00;office5;351;97131.31
16.09.2018;07:00;office2;352;34295.15
05.08.2018;11:00;office1;353;36805.43
09.01.2018;15:00;office12;354;47823.32
24.10.2018;13:00;office7;355;81328.2
23.07.2018;21:00;office8;356;24704.14
31.12.2019;00:00;office1;357;66304.14
12.02.2018;20:00;office13;358;80405.15
28.09.2018;16:00;office11;359;18657.12
25.03.2018;07:00;office8;360;61690.25
15.06.2018;15:00;office3;361;21735.17
