date;time;sale_point_number;operation_number;sum_operation
20.05.2018;22:00;office1;1;49000.35
13.03.2018;10:00;office7;2;63365.5
21.09.2018;17:00;office15;3;39651.22
26.02.2018;13:00;office11;4;93412.48
16.11.2018;02:00;office7;5;58903.19
01.04.2018;10:00;office16;6;25345.15
09.10.2018;01:00;office11;7;60177.18
16.06.2018;05:00;office5;8;19087.26
26.08.2018;08:00;office4;9;62471.37
19.02.2018;08:00;office16;10;26020.32
03.10.2018;07:00;office1;11;48998.37
26.02.2018;05:00;office7;12;55169.47
22.06.2018;11:00;office15;13;82140.26
07.08.2018;01:00;office11;14;17919.32
16.02.2018;21:00;office13;15;78463.5
18.11.2018;05:00;office3;16;40976.44
15.08.2018;04:00;office5;17;50769.21
24.05.2018;04:00;office3;18;71638.3
08.01.2018;02:00;office15;19;39833.26
04.11.2018;03:00;office14;20;38161.2
22.11.2018;06:00;office15;21;87695.47
29.07.2018;03:00;office7;22;52760.2
04.12.2018;06:00;office1;23;50004.2
25.08.2018;15:00;office5;24;42833.13
30.11.2018;02:00;office5;25;20561.47
25.02.2018;21:00;office6;26;68276.36
02.07.2018;09:00;office14;27;64209.27
29.11.2018;23:00;office10;28;21551.36
08.08.2018;12:00;office2;29;46877.33
10.05.2018;15:00;office7;30;78855.22
07.06.2018;20:00;office5;31;52879.32
28.02.2018;03:00;office13;32;98550.48
22.01.2018;12:00;office14;33;54938.23
22.03.2018;22:00;office6;34;19058.33
27.08.2018;22:00;office14;35;85754.36
29.10.2018;10:00;office13;36;75997.36
18.11.2018;14:00;office14;37;30476.27
17.05.2018;07:00;office14;38;59215.13
03.09.2018;16:00;office3;39;11617.16
16.08.2018;20:00;office15;40;73694.26
07.07.2018;11:00;office12;41;89123.5
28.01.2018;23:00;office9;42;80778.21
21.06.2018;02:00;office1;43;69441.26
28.05.2018;22:00;office15;44;44801.35
17.10.2018;05:00;office9;45;13091.19
08.04.2018;11:00;office12;46;22702.37
13.11.2018;20:00;office13;47;72996.44
31.12.2019;17:00;office14;48;58012.29
16.01.2018;07:00;office13;49;77816.35
26.01.2018;09:00;office14;50;10493.38
31.05.2018;05:00;office5;51;86200.3
27.08.2018;11:00;office5;52;51913.43
22.06.2018;03:00;office6;53;56307.43
20.06.2018;05:00;office16;54;27428.46
01.04.2018;16:00;office8;55;14173.5
11.01.2018;21:00;office10;56;49420.16
04.03.2018;09:00;office11;57;31389.46
14.05.2018;14:00;office3;58;42927.2
02.08.2018;10:00;office3;59;43316.23
09.04.2018;19:00;office4;60;73427.45
07.04.2018;15:00;office2;61;69016.38
21.04.2018;06:00;office15;62;59197.46
22.05.2018;21:00;office2;63;14744.31
08.01.2018;23:00;office3;64;29995.14
20.04.2018;19:00;office6;65;66883.25
02.04.2018;13:00;office2;66;33662.38
28.10.2018;16:00;office14;67;94995.37
22.05.2018;22:00;office1;68;70554.5
30.10.2018;03:00;office7;69;32791.19
17.11.2018;22:00;office2;70;15347.21
12.06.2018;04:00;office1;71;90334.18
03.04.2018;01:00;office1;72;56254.18
02.09.2018;14:00;office13;73;37512.41
18.04.2018;17:00;office3;74;12980.49
07.03.2018;17:00;office6;75;79887.16
03.10.2018;06:00;office16;76;85328.29
24.02.2018;00:00;office11;77;40067.19
19.05.2018;23:00;office5;78;36296.48
06.05.2018;07:00;office2;79;99214.48
08.04.2018;13:00;office12;80;97935.16
16.12.2018;02:00;office12;81;30574.29
16.08.2018;18:00;office1;82;90754.37
12.09.2018;14:00;office9;83;65594.49
01.07.2018;19:00;office1;84;86049.21
07.08.2018;00:00;office9;85;16348.24
11.01.2018;18:00;office11;86;14375.28
05.02.2018;22:00;office11;87;80099.41
20.09.2018;02:00;office10;88;87464.46
12.05.2018;09:00;office9;89;93732.12
24.03.2018;16:00;office9;90;12866.48
11.09.2018;15:00;office5;91;72801.49
16.05.2018;06:00;office10;92;49135.47
24.12.2018;18:00;office11;93;30247.31
23.08.2018;16:00;office11;94;14734.21
06.10.2018;11:00;office10;95;11418.36
29.05.2018;10:00;office11;96;31033.42
14.04.2018;11:00;office11;97;92240.33
21.08.2018;23:00;office4;98;84172.34
06.02.2018;23:00;office5;99;10860.12
17.05.2018;01:00;office14;100;58993.4
10.12.2018;17:00;office11;101;74187.43
09.05.2018;17:00;office9;102;17135.22
24.03.2018;05:00;office5;103;11190.39
17.02.2018;22:00;office7;104;17611.15
10.10.2018;02:00;office5;105;97172.48
09.03.2018;05:00;office7;106;42382.5
27.04.2018;13:00;office11;107;28856.18
01.08.2018;12:00;office10;108;44991.49
02.06.2018;04:00;office10;109;10940.28
25.07.2018;23:00;office9;110;49065.32
09.06.2018;07:00;office4;111;68112.26
30.06.2018;07:00;office3;112;35017.38
03.01.2018;07:00;office13;113;45639.45
